compound_name,smiles,canonical_smiles,inchikey,source_dataset,source_record_id,column_name,column_chemistry,stationary_phase_type,mobile_phase_a,mobile_phase_b,ph,gradient_profile,initial_organic_pct,final_organic_pct,gradient_duration_min,total_runtime_min,temperature_c,flow_ml_min,injection_ul,ion_mode,precursor_mz,product_mz,rt_min,peak_area,peak_height,sn_ratio,tailing_factor,asymmetry,resolution,matrix,success_flag,quality_score,notes,missing_fields_count
epicatechin,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PFTAWBLQPZVEMU-UHFFFAOYSA-N,RepoRT:0001,0001_00001,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40,0.28,,unknown,,,12.07,,,,,,,reference,True,,RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics,10
epicatechin gallate,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,LSHVYAFMTMFKBA-UHFFFAOYSA-N,RepoRT:0001,0001_00002,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40,0.28,,unknown,,,15.99,,,,,,,reference,True,,RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics,10
gallocatechin,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,XMOCLSLCDHWDHP-UHFFFAOYSA-N,RepoRT:0001,0001_00003,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40,0.28,,unknown,,,8.675,,,,,,,reference,True,,RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics,10
"3,5-dihydroxybenzoic acid",C1=C(C=C(C=C1O)O)C(=O)O,C1=C(C=C(C=C1O)O)C(=O)O,UYEMGAFJOZZIFP-UHFFFAOYSA-N,RepoRT:0001,0001_00004,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40,0.28,,unknown,,,7.75,,,,,,,reference,True,,RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics,10
4-hydroxybenzoic acid,C1=CC(=CC=C1C(=O)O)O,C1=CC(=CC=C1C(=O)O)O,FJKROLUGYXJWQN-UHFFFAOYSA-N,RepoRT:0001,0001_00005,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40,0.28,,unknown,,,10.6,,,,,,,reference,True,,RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics,10
astringin,C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O,C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O,PERPNFLGJXUDDW-UHFFFAOYSA-N,RepoRT:0001,0001_00006,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40,0.28,,unknown,,,14.2,,,,,,,reference,True,,RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics,10
caftaric acid,C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O,C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O,SWGKAHCIOQPKFW-UHFFFAOYSA-N,RepoRT:0001,0001_00007,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40,0.28,,unknown,,,8.53,,,,,,,reference,True,,RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics,10
cis-piceid,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O,HSTZMXCBWJGKHG-UHFFFAOYSA-N,RepoRT:0001,0001_00008,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40,0.28,,unknown,,,18.42,,,,,,,reference,True,,RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics,10
cis-resveratrol,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,RepoRT:0001,0001_00009,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40,0.28,,unknown,,,20.37,,,,,,,reference,True,,RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics,10
ellagic acid,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,AFSDNFLWKVMVRB-UHFFFAOYSA-N,RepoRT:0001,0001_00010,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40,0.28,,unknown,,,20.34,,,,,,,reference,True,,RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics,10
